artist,title,label,catno,format,price,media_condition,sleeve_condition,weight,place
Albert Giménez,Escapada!,Filobus Records,X-1165,"LP, Album",30.0,Very Good Plus (VG+),Good Plus (G+),230,
Avengers,Avengers,Superior Viaduct,SV077,"LP, Comp, RE",20.0,Mint (M),Mint (M),230,
Bantam Rooster,Deal Me In,Crypt Records,Crypt 077,"LP, Album",8.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
Basement 5,1965 - 1980,Phonogram,6313130,LP,20.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
Chris Rea,Shamrock Diaries,Magnet (2),MAGL 5062,"LP, Album, Red",12.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
David Bowie,1. Outside (The Nathan Adler Diaries: A Hyper Cycle),Arista,74321 30339 4 ,"Cass, Album",5.0,Very Good Plus (VG+),Very Good Plus (VG+),65,
Deviated Instinct,Nailed,Prophecy Records (4),PRO 004,"12""",40.0,Very Good Plus (VG+),Good Plus (G+),230,
The Dictators,Bloodbrothers,Asylum Records,6E-147,"LP, Album, Promo, Spe",18.0,Near Mint (NM or M-),Very Good Plus (VG+),230,
Disastroid,Mortal Fools,Heavy Psych Sounds,HPS119,"LP, Album",22.0,Near Mint (NM or M-),Mint (M),230,
The Edgar Broughton Band,Wasa Wasa,"EMI, EMI Electrola",1C 038-04 083,"LP, Album, RE",12.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
Electro Hippies,The Only Good Punk... Is A Dead One,Peaceville,VILE 02,"LP, Album, RP, Pin",20.0,Near Mint (NM or M-),Very Good Plus (VG+),230,
Eric Feremans,The Antwerp Killer,Finders Keepers Records,FKR087LP,"LP, RE",20.0,Mint (M),Mint (M),230,
Ether (2),Music For Air Raids V2.0,Rotorelief,ROTOR0012,"LP, Album, Ltd, Num",15.0,Very Good Plus (VG+),Near Mint (NM or M-),230,
Frank Zappa,Studio Tan,Discreet,59210,"LP, Album",18.0,Near Mint (NM or M-),Very Good Plus (VG+),230,
Hollywood Brats,The Hollywood Brats,Enfer Records,NW 2328,"LP, Album",35.0,Near Mint (NM or M-),Near Mint (NM or M-),230,
Hunters & Collectors,Hunters + Collectors,Virgin,205293,"LP, Album",10.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
Ideku Dynasty,Ideku Dynasty,Safran,18301,"LP, Album",50.0,Very Good Plus (VG+),Near Mint (NM or M-),230,
Iron Maiden,No Prayer For The Dying,"EMI, EMI","268 7 95142 4, 7951424","Cass, Album",6.0,Near Mint (NM or M-),Very Good Plus (VG+),65,
Jean Cohen-Solal,Captain Tarthopom,SouffleContinu Records,FFL045 ,"LP, Album, RE, Cle",20.0,Mint (M),Mint (M),230,
Jean Guérin,Tacet,"SouffleContinu Records, Futura Records (2)","FFL009, SON 04","LP, RE",17.0,Mint (M),Mint (M),230,
King Crimson,Islands,Island Records,6396013,"LP, Album",25.0,Near Mint (NM or M-),Very Good Plus (VG+),230,
King Crimson,Starless And Bible Black,Island Records,9101626,"LP, Album, Gat",20.0,Very Good Plus (VG+),Near Mint (NM or M-),230,
Kortatu,El Estado De Las Cosas,"Oihuka, Bondage International","O-149, BI 006","LP, Album",20.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
Matt Bianco,Whose Side Are You On,"WEA, WEA","240 472-1, WX 7","LP, Album",8.0,Near Mint (NM or M-),Very Good Plus (VG+),230,
Mory Kanté,N'Diarabi,"Mandingo Productions, Mandingo Productions","MP 0000123, 0000 123","LP, Album",35.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
The Mothers,Fillmore East - June 1971,Reprise Records,REP 44150,"LP, Album, RE",20.0,Near Mint (NM or M-),Near Mint (NM or M-),230,
New Race,The First And The Last,Line Records,LLP 5224,"LP, Album",20.0,Near Mint (NM or M-),Very Good Plus (VG+),230,
Nuclear Device (2),Tonnerre A La Une!,Bondage Records,RRR011,"LP, Album",18.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
Paul Chaplain And His Emeralds,Mr. Nicotine,"White Label Records (7), White Label Records (7)","WLP 8915, WL 8915",LP,9.0,Very Good Plus (VG+),Very Good (VG),230,
The Pirates (3),Out Of Their Skulls,Warner Bros. Records,K 56411,"LP, Album",15.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
Raudive Bunker Experiment,Raudive Bunker Experiment,Youdonthavetocallitmusic,YouDo 04,"2xLP, Comp, Ltd, Num",15.0,Mint (M),Near Mint (NM or M-),460,
The Sillies (2),America's Most Wanton,Rocket Science Records (2),P066,"LP, Comp",22.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
Skids,Scared To Dance,Virgin,2933768,"LP, Album",15.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
So Much Hate,Blind Alley,X-Mist Records,XM 012,"LP, Album",16.0,Very Good Plus (VG+),Very Good (VG),230,
Tapper Zukie,M.P.L.A.,Kingston Sounds,KSLP042,"LP, Album, RE, 180",15.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
The Teenbeats,Surf Bound,Norton Records (2),ED-220,"LP, Comp",12.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
